Tanggal,Hari,DSA Topic,ML Topic,System/Behavioral,Motivation
2025-10-28,Tuesday,"Array, String, HashMap, Set",Linear & Logistic Regression + Gradient Descent,"STAR Method intro, Why Google?, Tell me about a project","Keep grinding, not scrolling 💪"
2025-10-29,Wednesday,"Array, String, HashMap, Set",Linear & Logistic Regression + Gradient Descent,"STAR Method intro, Why Google?, Tell me about a project",One more step closer to Google 🚀
2025-10-30,Thursday,"Array, String, HashMap, Set",Linear & Logistic Regression + Gradient Descent,"STAR Method intro, Why Google?, Tell me about a project","Debug your laziness, not your code 😎"
2025-10-31,Friday,"Array, String, HashMap, Set",Linear & Logistic Regression + Gradient Descent,"STAR Method intro, Why Google?, Tell me about a project",Consistency beats talent 🔥
2025-11-01,Saturday,"Array, String, HashMap, Set",Linear & Logistic Regression + Gradient Descent,"STAR Method intro, Why Google?, Tell me about a project","Dream big, execute daily 🌟"
2025-11-02,Sunday,"Array, String, HashMap, Set",Linear & Logistic Regression + Gradient Descent,"STAR Method intro, Why Google?, Tell me about a project",Tiny progress > No progress 🧠
2025-11-03,Monday,"Array, String, HashMap, Set",Linear & Logistic Regression + Gradient Descent,"STAR Method intro, Why Google?, Tell me about a project",Focus. Learn. Repeat. 💥
2025-11-04,Tuesday,"Linked List, Sorting & Searching","Overfitting, Regularization, Implement Linear Regression",Behavioral prep + small ML pipeline sketch,"Keep grinding, not scrolling 💪"
2025-11-05,Wednesday,"Linked List, Sorting & Searching","Overfitting, Regularization, Implement Linear Regression",Behavioral prep + small ML pipeline sketch,One more step closer to Google 🚀
2025-11-06,Thursday,"Linked List, Sorting & Searching","Overfitting, Regularization, Implement Linear Regression",Behavioral prep + small ML pipeline sketch,"Debug your laziness, not your code 😎"
2025-11-07,Friday,"Linked List, Sorting & Searching","Overfitting, Regularization, Implement Linear Regression",Behavioral prep + small ML pipeline sketch,Consistency beats talent 🔥
2025-11-08,Saturday,"Linked List, Sorting & Searching","Overfitting, Regularization, Implement Linear Regression",Behavioral prep + small ML pipeline sketch,"Dream big, execute daily 🌟"
2025-11-09,Sunday,"Linked List, Sorting & Searching","Overfitting, Regularization, Implement Linear Regression",Behavioral prep + small ML pipeline sketch,Tiny progress > No progress 🧠
2025-11-10,Monday,"Linked List, Sorting & Searching","Overfitting, Regularization, Implement Linear Regression",Behavioral prep + small ML pipeline sketch,Focus. Learn. Repeat. 💥
2025-11-11,Tuesday,"Stack, Queue, Recursion, Tree Traversal","Decision Tree, Random Forest, SVM",System design: ML training pipeline,"Keep grinding, not scrolling 💪"
2025-11-12,Wednesday,"Stack, Queue, Recursion, Tree Traversal","Decision Tree, Random Forest, SVM",System design: ML training pipeline,One more step closer to Google 🚀
2025-11-13,Thursday,"Stack, Queue, Recursion, Tree Traversal","Decision Tree, Random Forest, SVM",System design: ML training pipeline,"Debug your laziness, not your code 😎"
2025-11-14,Friday,"Stack, Queue, Recursion, Tree Traversal","Decision Tree, Random Forest, SVM",System design: ML training pipeline,Consistency beats talent 🔥
2025-11-15,Saturday,"Stack, Queue, Recursion, Tree Traversal","Decision Tree, Random Forest, SVM",System design: ML training pipeline,"Dream big, execute daily 🌟"
2025-11-16,Sunday,"Stack, Queue, Recursion, Tree Traversal","Decision Tree, Random Forest, SVM",System design: ML training pipeline,Tiny progress > No progress 🧠
2025-11-17,Monday,"Stack, Queue, Recursion, Tree Traversal","Decision Tree, Random Forest, SVM",System design: ML training pipeline,Focus. Learn. Repeat. 💥
2025-11-18,Tuesday,"Graph BFS, DFS, Top K elements","Cross-validation, confusion matrix, model evaluation",API design & serving overview,"Keep grinding, not scrolling 💪"
2025-11-19,Wednesday,"Graph BFS, DFS, Top K elements","Cross-validation, confusion matrix, model evaluation",API design & serving overview,One more step closer to Google 🚀
2025-11-20,Thursday,"Graph BFS, DFS, Top K elements","Cross-validation, confusion matrix, model evaluation",API design & serving overview,"Debug your laziness, not your code 😎"
2025-11-21,Friday,"Graph BFS, DFS, Top K elements","Cross-validation, confusion matrix, model evaluation",API design & serving overview,Consistency beats talent 🔥
2025-11-22,Saturday,"Graph BFS, DFS, Top K elements","Cross-validation, confusion matrix, model evaluation",API design & serving overview,"Dream big, execute daily 🌟"
2025-11-23,Sunday,"Graph BFS, DFS, Top K elements","Cross-validation, confusion matrix, model evaluation",API design & serving overview,Tiny progress > No progress 🧠
2025-11-24,Monday,"Graph BFS, DFS, Top K elements","Cross-validation, confusion matrix, model evaluation",API design & serving overview,Focus. Learn. Repeat. 💥
